,ncbi,organism,pubmed
112,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026225.1_ASM2622v1,efe,http://www.ncbi.nlm.nih.gov/pubmed/19165319
117,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006945.1_ASM694v1,stm,http://www.ncbi.nlm.nih.gov/pubmed/11677609
118,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022165.1_ASM2216v1,seo,http://www.ncbi.nlm.nih.gov/pubmed/19897643
119,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000027025.1_ASM2702v1,sev,http://www.ncbi.nlm.nih.gov/pubmed/19901036
120,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000210855.2_ASM21085v2,sey,http://www.ncbi.nlm.nih.gov/pubmed/22538806
121,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283735.1_ASM28373v1,sem,http://www.ncbi.nlm.nih.gov/pubmed/21098248
122,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000213635.1_ASM21363v1,sej,http://www.ncbi.nlm.nih.gov/pubmed/21622747
123,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000188735.1_ASM18873v1,seb,http://www.ncbi.nlm.nih.gov/pubmed/21478351
124,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000252875.1_ASM25287v1,sef,http://www.ncbi.nlm.nih.gov/pubmed/22937065
125,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000380325.1_ASM38032v1,setu,http://www.ncbi.nlm.nih.gov/pubmed/23887910
126,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430145.3_ASM43014v3,setc,http://www.ncbi.nlm.nih.gov/pubmed/24356834
127,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430165.1_ASM43016v1,seen,
128,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000493535.1_DT2,senr,http://www.ncbi.nlm.nih.gov/pubmed/23982073
131,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011885.1_ASM1188v1,spt,http://www.ncbi.nlm.nih.gov/pubmed/15531882
132,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026565.1_ASM2656v1,sek,http://www.ncbi.nlm.nih.gov/pubmed/19159446
134,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018385.1_ASM1838v1,sei,http://www.ncbi.nlm.nih.gov/pubmed/19229335
136,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020705.1_ASM2070v1,seh,http://www.ncbi.nlm.nih.gov/pubmed/21602358
137,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000258365.1_ASM25836v1,shb,http://www.ncbi.nlm.nih.gov/pubmed/22689230
138,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430085.2_ASM43008v2,senh,http://www.ncbi.nlm.nih.gov/pubmed/24903882
139,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430105.1_ASM43010v1,seeh,http://www.ncbi.nlm.nih.gov/pubmed/24732280
140,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016045.1_ASM1604v1,see,http://www.ncbi.nlm.nih.gov/pubmed/21602358
141,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000442415.1_ASM44241v1,senn,
142,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020745.1_ASM2074v1,sew,http://www.ncbi.nlm.nih.gov/pubmed/21602358
143,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020885.1_ASM2088v1,sea,http://www.ncbi.nlm.nih.gov/pubmed/21602358
144,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000503845.1_ASM50384v1,sens,http://www.ncbi.nlm.nih.gov/pubmed/24459278
145,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020925.1_ASM2092v1,sed,http://www.ncbi.nlm.nih.gov/pubmed/21602358
147,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000235545.1_ASM23554v1,sel,http://www.ncbi.nlm.nih.gov/pubmed/22247537
148,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000462995.1_ASM46299v1,sega,
156,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000430125.1_ASM43012v1,seec,http://www.ncbi.nlm.nih.gov/pubmed/25359917
160,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000473275.1_ASM47327v1,sene,http://www.ncbi.nlm.nih.gov/pubmed/24233585
161,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000486405.2_ASM48640v2,senc,http://www.ncbi.nlm.nih.gov/pubmed/24158624
162,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018625.1_ASM1862v1,ses,
165,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000709535.1_ASM70953v1,sbv,http://www.ncbi.nlm.nih.gov/pubmed/24928416
166,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006645.1_ASM664v1,ypk,http://www.ncbi.nlm.nih.gov/pubmed/12142430
167,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013825.1_ASM1382v1,ypa,http://www.ncbi.nlm.nih.gov/pubmed/16740952
168,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013805.1_ASM1380v1,ypn,http://www.ncbi.nlm.nih.gov/pubmed/16740952
169,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007885.1_ASM788v1,ypm,http://www.ncbi.nlm.nih.gov/pubmed/15368893
170,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016445.1_ASM1644v1,ypp,http://www.ncbi.nlm.nih.gov/pubmed/17966401
171,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018805.1_ASM1880v1,ypg,http://www.ncbi.nlm.nih.gov/pubmed/20061468
172,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022845.1_ASM2284v1,ypz,http://www.ncbi.nlm.nih.gov/pubmed/20453098
173,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000222975.1_ASM22297v1,ypt,
174,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022805.1_ASM2280v1,ypd,http://www.ncbi.nlm.nih.gov/pubmed/20453098
175,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022825.1_ASM2282v1,ypx,http://www.ncbi.nlm.nih.gov/pubmed/20453098
176,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000186725.1_ASM18672v1,yph,
