,ncbi,organism,pubmed
606,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000817975.1_ASM81797v1,acx,http://www.ncbi.nlm.nih.gov/pubmed/26061173
625,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000505685.2_ASM50568v2,abaz,http://www.ncbi.nlm.nih.gov/pubmed/24459253
645,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018765.1_ASM1876v1,sbn,
657,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000203935.1_ASM20393v1,shn,
702,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306845.1_ASM30684v1,lph,http://www.ncbi.nlm.nih.gov/pubmed/22044686
703,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306865.1_ASM30686v1,lpo,http://www.ncbi.nlm.nih.gov/pubmed/22044686
704,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000347615.1_ASM34761v1,lpu,http://www.ncbi.nlm.nih.gov/pubmed/23792742
705,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000404245.1_ASM40424v1,lpm,http://www.ncbi.nlm.nih.gov/pubmed/23826259
706,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000048665.1_ASM4866v1,lpf,http://www.ncbi.nlm.nih.gov/pubmed/15467720
707,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000048645.1_ASM4864v1,lpp,http://www.ncbi.nlm.nih.gov/pubmed/15467720
708,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092545.1_ASM9254v1,lpc,http://www.ncbi.nlm.nih.gov/pubmed/17888731
709,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092625.1_ASM9262v1,lpa,http://www.ncbi.nlm.nih.gov/pubmed/20236513
711,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000091785.1_ASM9178v1,llo,http://www.ncbi.nlm.nih.gov/pubmed/20174605
714,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000512355.1_ASM51235v1,lok,http://www.ncbi.nlm.nih.gov/pubmed/23932911
751,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000260965.1_ASM26096v1,mec,http://www.ncbi.nlm.nih.gov/pubmed/22815445
752,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000442595.1_ASM44259v1,cza,
829,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020205.1_ASM2020v1,rpi,
890,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010545.1_ASM1054v1,bmj,
913,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001411805.1_ASM141180v1,bpla,http://www.ncbi.nlm.nih.gov/pubmed/25943361
924,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000504585.1_ASM50458v1,prb,http://www.ncbi.nlm.nih.gov/pubmed/24699956
929,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000972785.2_ASM97278v2,pox,http://www.ncbi.nlm.nih.gov/pubmed/26742625
931,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001029105.1_ASM102910v1,pfg,
955,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015505.1_ASM1550v1,pna,http://www.ncbi.nlm.nih.gov/pubmed/19453698
956,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015545.1_ASM1554v1,ajs,
957,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022305.1_ASM2230v1,dia,http://www.ncbi.nlm.nih.gov/pubmed/20023012
959,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000302535.1_ASM30253v1,ack,http://www.ncbi.nlm.nih.gov/pubmed/23209225
963,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000739375.1_ASM73937v1,ctes,http://www.ncbi.nlm.nih.gov/pubmed/25212615
964,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000204645.1_ASM20464v1,adk,http://www.ncbi.nlm.nih.gov/pubmed/21742888
971,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000253115.1_ASM25311v1,thi,
973,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014765.1_ASM1476v1,net,http://www.ncbi.nlm.nih.gov/pubmed/17991028
974,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000175095.2_ASM17509v2,nit,http://www.ncbi.nlm.nih.gov/pubmed/21868805
994,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020245.1_ASM2024v1,hps,http://www.ncbi.nlm.nih.gov/pubmed/21124785
998,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021165.1_ASM2116v1,hpg,http://www.ncbi.nlm.nih.gov/pubmed/18952803
999,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021465.1_ASM2146v1,hpp,http://www.ncbi.nlm.nih.gov/pubmed/20478826
1014,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000270065.1_ASM27006v1,hex,http://www.ncbi.nlm.nih.gov/pubmed/21575176
1025,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000185245.1_ASM18524v1,hes,http://www.ncbi.nlm.nih.gov/pubmed/24072860
1065,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015525.1_ASM1552v1,cjj,
1067,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000184085.1_ASM18408v1,cjn,http://www.ncbi.nlm.nih.gov/pubmed/21124772
1068,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025425.1_ASM2542v1,cji,
1070,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000184205.1_ASM18420v1,cjs,http://www.ncbi.nlm.nih.gov/pubmed/21217004
1074,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000466075.2_ASM46607v2,cjen,http://www.ncbi.nlm.nih.gov/pubmed/24641125
1088,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000512745.1_ASM51274v1,cfv,http://www.ncbi.nlm.nih.gov/pubmed/24503995
1089,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000759515.1_ASM75951v1,cfx,http://www.ncbi.nlm.nih.gov/pubmed/25232170
1090,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000967135.1_CFV,cfz,http://www.ncbi.nlm.nih.gov/pubmed/24416416
1094,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017585.1_ASM1758v1,cha,
1096,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019205.1_ASM1920v1,cla,http://www.ncbi.nlm.nih.gov/pubmed/18713059
1103,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000465235.1_ASM46523v1,ccc,http://www.ncbi.nlm.nih.gov/pubmed/23959310
1104,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000494775.1_ASM49477v1,ccq,http://www.ncbi.nlm.nih.gov/pubmed/24336384
1105,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000583755.1_ASM58375v1,ccf,
1106,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000583775.1_ASM58377v1,ccy,
1107,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000583795.1_ASM58379v1,ccoi,
1108,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000954195.1_ASM95419v1,ccof,
1112,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000816785.1_ASM81678v1,cpel,http://www.ncbi.nlm.nih.gov/pubmed/25381664
1142,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000023445.1_ASM2344v1,dsa,
